id,num_images,url,source_platform,modality,license,region_origin,year,notes
zenodo-10664056,3000,https://doi.org/10.5281/zenodo.10664056,Zenodo,intraoral_photo,CC BY-NC-ND 4.0,Sri Lanka,2024,Mobile phone photos; patient-wise CSV with smoking/betel/alcohol risk factors; restricted-access (institutional email required). Some sources cite 3246 images from 1013 patients.
bmc-tbilisi-humanitarian-2864-georgia-2025,2864,https://doi.org/10.1186/s12903-025-06500-6,BMC Oral Health,intraoral_photo,not_specified,Georgia,2025,"Tbilisi Humanitarian Univ; 358 children, 8 standard projections, smartphone. First Georgia/Caucasus dataset."
smart-om-smartphone-oral,2469,https://github.com/search?q=SMART-OM+smartphone+oral,GitHub/paper,intraoral_photo,research_only,multi,2024,"Smartphone iOS+Android capture, 331 subjects — camera-protocol axis."
bmc-mixed-dentition-intraoral-2025-06866,2467,https://link.springer.com/article/10.1186/s12903-025-06866-7,BMC Oral Health,intraoral_photo,CC_BY_4.0,China,2025,5-view protocol with MIH/fluorosis/hypoplasia as explicit classes.
claseg-2072-scirep-2025-s41598-025-03268-1,2072,https://www.nature.com/articles/s41598-025-03268-1,Nature Scientific Reports,intraoral_photo,CC BY 4.0,unspecified,2025,"iter-3 resolution: 2072 intraoral photos, 16 classes; gated supplementary; distinct from excluded claseg-oral-lesions-2025-contact-note"
osaka-prosthesis-1904-takahashi-2021,1904,https://www.nature.com/articles/s41598-021-81202-x,Scientific Reports,intraoral_photo,on_request,Japan,2021,"Not publicly hosted — contact Osaka University Dental Hospital, Dept of Prosthodontics."
osaka-prosthodontics-contact-draft-2026,1904,https://global.dent.osaka-u.ac.jp/,author_contact_draft,intraoral_photo,not_public,Japan,2021,"Parent osaka-prosthesis-1904-takahashi-2021 excluded in iter-1. Contacts drafted toshi-t@dent.osaka-u.ac.jp, mameno.tomoaki.dent@osaka-u.ac.jp. Trigger outreach iter-3."
fdtooth-scidata-2025,1800,https://physionet.org/content/fdtooth/1.0.0/,PhysioNet/Sci Data,intraoral_photo,CC BY 4.0,unknown,2025,Usable subset = intraoral photos with recession labels; CBCT part blacklisted.
alphadent-kaggle-competition,1320,https://www.kaggle.com/competitions/alpha-dent/data,Kaggle,intraoral_photo,open (Kaggle competition terms),Russia,2025,Kaggle mirror of AlphaDent. Train/val split by patient: 273 train / 22 val. Hidden test set for leaderboard. Task = instance segmentation of 9 oral pathology classes on intraoral DSLR photos.
human-tooth-crack-nir-2024,1194,https://link.springer.com/article/10.1007/s10439-024-03615-9,Annals of Biomedical Engineering / Springer,intraoral_photo,data_on_request,unknown,2024,593 cracked + 601 non-cracked from NIR videos. Borderline-photo modality. Enamel-crack niche.
bmc-s12903-024-04460-x-chronic-gingivitis-683,683,https://doi.org/10.1186/s12903-024-04460-x,BMC Oral Health,intraoral_photo,request_only,China,2024,Li 2024 BMC OH 24:814; 134 volunteers
moharrami-ragadio-2024-gingivitis-666-kaggle-lead,666,https://onlinelibrary.wiley.com/doi/full/10.1111/cdoe.70001,Kaggle_unknown,intraoral_photo,unknown,Philippines (likely),2024,Cited as Kaggle dataset; exact slug not located iter-3.
chau-hku-gingivitis-567-2023,567,https://doi.org/10.1016/j.identj.2023.03.007,International Dental Journal,intraoral_photo,request_only,Hong Kong/Guangdong,2023,Originating paper for 567-img set cited in PMC12627268 SR; HKU RGC grant UGC/FDS13/E01/22
mdpi-diagnostics-plaque-oleary,531,https://www.mdpi.com/journal/diagnostics,MDPI paper,intraoral_photo,on_request,unknown,2024,Smartphone-based plaque scoring.
terven-ipn-plaque-531-oleary-2025,531,https://www.mdpi.com/2075-4418/15/2/231,MDPI Diagnostics,intraoral_photo,request_only,Mexico (Guanajuato),2025,"177 individuals, multi-smartphone; distinct from mdpi-diagnostics-plaque-oleary"
mdpi-diagnostics-ksu-435,435,https://www.mdpi.com/2075-4418/16/6/862,MDPI Diagnostics author-hosted,intraoral_photo,article CC BY,Saudi Arabia,2025,King Saud University Riyadh; pediatric oral photographs; patient-level stratified splitting; ResNet-18 MobileNetV3 EfficientNet-B0 fine-tuned
pku-tooth-wear-grading-388,388,https://www.sciencedirect.com/science/article/pii/S1991790224001594,J Dent Sci (Peking University),intraoral_photo,unknown_paper_only,China,2024,In-zone tooth wear grading. F1=0.89. Request-based.
fdtooth-physionet-hku-2025,241,https://physionet.org/content/fdtooth/1.0.0/,PhysioNet,intraoral_photo,PhysioNet (ODC-BY expected),"Hong Kong (HKU Faculty of Dentistry, 2 centers 2010-2023)",2025,"Photo-subset usable (MODALITY_MIXED=true, reject CBCT half). Explicit bracket-present/absent labels."
schwarzmaier-143-ecc-anterior-deciduous-2024,143,https://www.mdpi.com/2077-0383/13/17/5215,MDPI_request_author,intraoral_photo,request_only,Germany,2024,107 ECC + 36 control. High-res 2784x1856 macro-flash. Request corresponding author.
github-yunwu2024-dental-fluorosis,,https://github.com/yunwu2024/dental_fluorosis,GitHub,intraoral_photo,pending,China,2024,Placeholder repo; release pending paper acceptance. Monitor iter 2-3.
teethdreamer-5photo-protocol,,https://arxiv.org/abs/2407.11419,arXiv,intraoral_photo,research,unknown,2024,Usable subset = 5 photos per subject. Meshes are blacklisted by our modality filter.
sfedu-yufu-caries-smartphone-2026,,https://sfedu.ru/press-center/news/80063,SFEDU press release / Nauka i Zhizn / Ferra.ru,intraoral_photo,unknown (not publicly released yet),Russia,2026,"Denis Krivoguz team at Southern Federal University (Rostov-on-Don). Built YOLOv8 caries detector on smartphone camera intraoral photos. Internal research sample: 1781 patients, 5000+ affected teeth. Training used the public Pakistani (Mithi, Sindh) dataset; the SFedU own sample is NOT publicly relea"
sechenov-minzdrav-sjogren-salivary-2024,,https://www.sechenov.ru/pressroom/news/vklad-v-delo-tsifrovizatsii-sechenovskiy-universitet-sozdal-i-vylozhil-na-platformu-minzdrava-dlya-o/,Minzdrav RF AI platform / Sechenov,histology_microscopy,open after patent,Russia,2024,"OUT-OF-SCOPE (histology, not intraoral photo) but logged as negative anchor + institutional lead. Institute of Clinical Morphology & Digital Pathology, Sechenov. Three more datasets being prepared by the same team - revisit in future iterations for possible intraoral soft-tissue modalities."
aikosh-india-oral-cancer,,https://aikosh.indiaai.gov.in/home/datasets/details/oral_cancer_imaging_and_clinical_dataset.html,AIKosh IndiaAI government platform,intraoral_photo,Indian government open-data terms TBD,India,2024,IndiaAI AIKosh platform; requires account/request; confirm image count and modality split
github-dlcariesscreen-ucla,,https://github.com/liangyuandg/DLCariesScreen,GitHub,intraoral_photo,request-based,USA/China (UCLA + Nanjing Medical),2020,Dataset NOT public due to privacy/commercial concerns; request via liangyuandg@ucla.edu or Prof. Leiying Miao. Logged with requires_request=true for access pipeline tracking.
jmir-e91239-colorado-fluorosis-2026,,https://www.researchprotocols.org/2026/1/e91239,JMIR Research Protocols,intraoral_photo,protocol_stage_not_released,USA_Colorado,2026,Protocol Jan 2026. ~300/1000 collected. Smartphone + intraoral camera. Not yet public.
frontiers-mih-central-china-1568,,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2023.1088703/full,Frontiers in Physiology,intraoral_photo,CC_BY_article_only,China_central,2023,1568 with MIH+DF co-labels in endemic fluorosis area; photos not released; authors contactable.
heliyon-tooth-crack-deeplabv3plus-2024,,https://www.cell.com/heliyon/fulltext/S2405-8440(24)01923-6,Heliyon / Cell Press,intraoral_photo,CC_BY_NC_ND,unknown,2024,Craze-line / enamel-crack niche; images on request.
tongue-lesions-bmc-623patients,,https://bmcmedimaging.biomedcentral.com/articles/10.1186/s12880-024-01234-3,journal_data_availability,intraoral_photo_tongue,request_only,,2024,Geographic tongue explicit; on-request
sechenov-datamed-ai-platform-lead,,https://ai.sechenov.ru/datasets,ai.sechenov.ru,mixed_platform,platform-gated,Russia,2026,Platform hosts 26 datasets as of 2026-04; only dental = already-excluded Sjögren histology. Outreach lead.
github-tooth-segmentation44-yolov8,,https://github.com/YOLOv8-YOLOv11-Segmentation-Studio/tooth-segmentation44,GitHub,intraoral_photo,unspecified GitHub open,China,2024,Chinese-authored; distinct from sister repo rvg-v1301 which is X-ray film; tooth-segmentation44 appears intraoral photo segmentation; dataset access via QR/Baidu Netdisk per README; verify modality before use; author-provided one-click training template
aihub-korea-71509-dental-intraoral-clinical,,https://aihub.or.kr/aihubdata/data/view.do?currMenu=115&topMenu=100&dataSetSn=71509,AIHub Korea (NIA),intraoral_photo,AIHub Korea DUA (approval required),South Korea (Seoul National University Dental Hospital),2022,Korean-government AI training dataset from SNU Dental Hospital. 6 clinical views per patient. Critical Asian-region source never probed in iter_1/iter_2.
ssrn-6281532-airc-labden-plaque-ortho,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6281532,SSRN,intraoral_photo,unknown,Vietnam (AIRC Hanoi),2025,Ortho-perio crossover; contact Chi Nguyen Anh et al.
integrated-fluorosis-grading-bspc-2024,,https://www.sciencedirect.com/science/article/abs/pii/S1746809424005688,Biomedical Signal Processing and Control,intraoral_photo,on_request,China,2024,U-Net tooth seg + CNN+Transformer classifier.
mdpi-mih-oct-photonics-799-2025,,https://www.mdpi.com/2304-6732/12/8/799,MDPI Photonics,intraoral_photo,CC_BY,Europe_unspecified,2025,In-vivo OCT paired with clinical photos.
coi-skin-dde-pediatric-2025-06326,,https://pubmed.ncbi.nlm.nih.gov/40227455/,Clinical Oral Investigations,intraoral_photo,CC_BY,Europe_clinical,2025,"Genodermatoses cohort, rare-disease AI enrichment candidate."
cleft-mih-6432-coi-2025-06311,,https://link.springer.com/article/10.1007/s00784-025-06311-7,Clinical Oral Investigations,intraoral_photo,on_request,referral_hospital,2025,6432 teeth from 290 cleft patients via 40-inch screen photo review.
opmdcare-atlas-photos-2026,,https://opmdcare.com/atlas-photos/,OPMDCARE consortium,intraoral_photo,Unclear/copyrighted; bulk-export UNVERIFIED,Europe multi-country consortium,2024,Educational atlas; no DOI; author-contact (Bordeaux lead).
aihub-kr-restorative-probe-2026,,https://www.aihub.or.kr/aihubdata/data/list.do,AI-Hub Korea,,AI-Hub custom (non-commercial default),South Korea,2026,Catalogue confirmed; individual dataset IDs require Korean login. Needs KR-resident collaborator.
nyu-caredaway-sdf-school-ny-10620,,https://datacatalog.med.nyu.edu/dataset/10620,NYU Data Catalog,intraoral_photo,Restricted (Data Request Form required),USA (NYC public schools),2023,"7418 children, 4100 completers. First US large-scale pediatric SDF cohort; photos uncertain — contact PI Ryan Richard Ruff."
sechenov-ai-205-adult-dental-photos-polygon,,https://ai.sechenov.ru/datasets/205,Sechenov University AI Platform,intraoral_photo,Russian state DB reg 2023624045; access by request,Russia,2023,300 adult patients per portal listing; distinct from iter-1/2 Sechenov entries (Sjogren/DataMed/platform-lead).
sechenov-ai-214-pediatric-dental-morbidity-moscow,,https://ai.sechenov.ru/datasets/214,Sechenov University AI Platform,unknown,Russian state DB reg; request-only,Russia,2024,Photo modality NOT confirmed — may be structured clinical records. Verify via direct request.
plos-one-0310420-mexican-fluorosis-mih-573,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0310420,PLOS ONE,intraoral_photo,CC BY 4.0 article; photos on request,Mexico (endemic fluorosis community),2024,"573 children, dual-endemic fluorosis+MIH phenotype; outreach iter_5."
s41598-025-25960-y-vietnam-mih-1834-northern,,https://www.nature.com/articles/s41598-025-25960-y,Nature Sci Rep,intraoral_photo,CC BY 4.0,"Vietnam (Thai Nguyen, Phu Tho, Bac Giang)",2025,"n=1834, MIH prev 12.7%; photos on request."
dongthap-vietnam-mih-2025-40589688,,https://pubmed.ncbi.nlm.nih.gov/40589688/,PubMed,intraoral_photo,publisher,Vietnam (Dong Thap Mekong Delta),2025,Southern Vietnam counterpart to Northern 1834 study; outreach iter_5.
abha-ksa-mih-520-kingkhalid-2026,,https://pubmed.ncbi.nlm.nih.gov/41746461/,PubMed,intraoral_photo,publisher,"Saudi Arabia (Abha, King Khalid Univ)",2026,n=520 Saudi children Feb-2026; outreach for photo-level release.
mdpi-jcm-14-8959-enamel-caries-dl-2025,,https://www.mdpi.com/2077-0383/14/24/8959,MDPI JCM,intraoral_photo,CC BY 4.0,unspecified,2025,Hypoplasia+fluorosis as distractors; data-on-request.
preprints-2025-tooth-wear-portuguese-community,,https://www.preprints.org/frontend/manuscript/11e1eb8379393f65e572e1329eef56ab/download_pub,Preprints.org,intraoral_photo,CC BY (preprint),Portugal,2025,Attrition+NCCL 12.3%/9%.
oralgpt-mmoral-dfull-dpartial-arxiv-2510-13911,,https://arxiv.org/abs/2510.13911,arXiv + GitHub isbrycee/OralGPT,intraoral_photo,private_not_released,China (Xi'an Jiaotong),2025,"iter-3 resolution: CONFIRMED PRIVATE. Only DPublic+MMOral-OPG-Bench (panoramic, out-of-scope) on HF. Contact isjinghao@gmail.com"
arxiv-2511-21582-multimodal-oral-lesions-16class,,https://arxiv.org/abs/2511.21582,arXiv,intraoral_photo,unspecified,,2025,Nov 2025; possibly reuses CLASEG-2072 given 16-class overlap; verify iter-5
